;"Organisationsschlüssel";"Beschreibung";"Anlernen_Ausbildung";"Erfahrung";"Denken";"Handlungsspielraum";"Kommunikation";"Führung";"Punkte";"Entgeltgruppe";;
;"05.03.04.10";"Betriebsmittelmechaniker/-in 2 - Anfertigen von komplexen Betriebsmitteln";"B 2";"E 4";"D 3";"H 3";"K 2";"F 0";"34  ";" EG 9";;
;"05.03.04.15";"Betriebsmittelsystembetreuer/-in - Anfertigen von Betriebsmittelsystemen";"B 2";"E 5";"D 4";"H 4";"K 3";"F 1";"45  ";" EG 12";;
;"05.03.05.10";"Anlagenmechaniker/-in - Instandhalten von komplexen Betriebsmitteln ";"B 2";"E 4";"D 3";"H 3";"K 2";"F 0";"39  ";" EG 9";;
;"05.03.05.15";"Systemmechaniker/-in - Instandhalten von Betriebsmittelsystemen";"B 2";"E 5";"D 4";"H 4";"K 3";"F 1";"45  ";" EG 12";;
;"05.03.06.05";"Betriebselektriker/-in 1 - Instandhalten von elektrischen / elektronischen Anlagen";"B 2";"E 1";"D 2";"H 3";"K 2";"F 0";"25  ";" EG 7";;
;"05.03.06.10";"Betriebselektriker/-in 2 - Instandhalten von elektrischen / elektronischen Anlagen";"B 2";"E 4";"D 3";"H 4";"K 2";"F 0";"36  ";" EG 10";;
;"05.03.06.15";"Betriebselektriker/-in 3 - Instandhalten von elektrischen / elektronischen Anlagen";"B 2";"E 5";"D 4";"H 4";"K 3";"F 1";"45  ";" EG 12";;
;"05.03.07.10";"Materialtransporteur/-in - Durchführen von innerbetrieblichen Transporten ";"A 3";"E 0";"D 1";"H 2";"K 1";"F 0";"10  ";" EG 3";;
;"05.03.07.15";"Fahrer/-in - Ausführen von Fahraufträgen";"A 5";"E 0";"D 2";"H 2";"K 2";"F 0";"18  ";" EG 5";;
;"05.04.03.05";"Fertigungsverfahrensbetreuer/-in - Einsetzen von Fertigungsverfahren";"B 4";"E 3";"D 4";"H 4";"K 3";"F 0";"44  ";" EG 12";;
;"05.04.03.10";"Fertigungsverfahrensentwickler/-in - Entwickeln von neuen Fertigungsverfahren";"B 6";"E 4";"D 6";"H 5";"K 4";"F 0";"69  ";" EG 17";;
;"05.04.04.05";"Fertigungsplaner/-in 1 - Planen von Arbeitsfolgen";"B 4";"E 4";"D 4";"H 4";"K 3";"F 0";"47  ";" EG 13";;
;"05.04.04.10";"Fertigungsplaner /-in 2 - Planen komplexer Arbeitsabläufe";"B 5";"E 4";"D 5";"H 5";"K 4";"F 0";"60  ";" EG 16";;
;"05.04.05.05";"Arbeitsstudien-Sachbearbeiter/-in - Durchführen von Arbeitsstudien";"B 4";"E 3";"D 4";"H 4";"K 4";"F 0";"46  ";" EG 12";;
;"05.04.06.10";"QS-Fachkraft  - Prüfen von Qualitätsmerkmalen";"B 2";"E 3";"D 3";"H 3";"K 2";"F 0";"31  ";" EG 9";;
;"05.04.07.05";"Qualitätstechniker/-in - Umsetzen von Qualitätsstandards";"B 4";"E 3";"D 4";"H 3";"K 3";"F 0";"42  ";" EG 11";;
;"05.04.07.10";"Qualitätsingenieur/-in - Umsetzen von Qualitätsstandards";"B 5";"E 3";"D 5";"H 4";"K 4";"F 0";"55  ";" EG 15";;
;"06.01.02.05";"Entwicklungstechniker/-in - Durchführen und Überwachen von Entwicklungsarbeiten";"B 4";"E 3";"D 4";"H 3";"K 3";"F 0";"42  ";" EG 11";;
;"06.01.02.10";"Entwicklungsingenieur/-in 1 - Durchführen und Überwachen von Entwicklungsaufgaben";"B 5";"E 4";"D 5";"H 5";"K 3";"F 0";"58  ";" EG 15";;
;"06.01.02.15";"Entwicklungsingenieur/-in 2 - Koordinieren und Durchführen komplexer Entwicklung";"B 6";"E 4";"D 6";"H 6";"K 4";"F 0";"71  ";" EG 17";;
;"06.02.01.10";"Technische(r) Zeichner/-in - Anfertigen von technischen Zeichnungen";"B 2";"E 1";"D 3";"H 2";"K 2";"F 0";"25  ";" EG 7";;
;"06.02.01.20";"Konstruktionstechniker/-in - Konstruktives Ausgestalten von Teilen / Baugruppen";"B 4";"E 3";"D 4";"H 3";"K 3";"F 0";"42  ";" EG 11";;
;"06.02.01.25";"Konstruktionsingenieur/-in - Konstruktives Gestalten von Erzeugnissen";"B 5";"E 3";"D 5";"H 5";"K 3";"F 0";"55  ";" EG 15";;
;"06.02.01.30";"Konstruktions-Gruppenleiter/-in - Leiten einer Konstruktionsgruppe";"B 5";"E 5";"D 5";"H 7";"K 4";"F 4";"72  ";" EG 17";;
;"06.02.02.15";"Elektronikentwickler/-in Hardware 3  - Entwickeln von Hardware";"B 5";"E 3";"D 4";"H 4";"K 3";"F 0";"49  ";" EG 13";;
;"06.02.02.20";"Elektronikentwickler/-in Hardware 4  - Entwickeln von Hardware";"B 5";"E 3";"D 5";"H 5";"K 3";"F 0";"55  ";" EG 15";;
;"06.02.03.20";"Produktsoftware-Entwickler/-in 4  - Entwickeln von Produktsoftwaresystemen";"B 5";"E 3";"D 5";"H 5";"K 3";"F 0";"55  ";" EG 15";;
;"06.02.03.25";"Projektleiter/-in Produktentwicklung  - Leiten von produktbezogenen Hard- und Softwareprojekten";"B 5";"E 4";"D 5";"H 5";"K 4";"F 1";"62  ";" EG 16";;
;"06.02.04.05";"Technische/r Assistent/-in - Assistenzarbeiten";"B 2";"E 5";"D 3";"H 3";"K 2";"F 0";"36  ";" EG 10";;
;"06.02.04.10";"F&E-Assistent/-in - Assistenzarbeiten";"B 3";"E 4";"D 3";"H 3";"K 3";"F 0";"39  ";" EG 11";;
;"06.04.01.05";"Prüfer/-in - Ausführen von Prüfungen";"A 3";"E 0";"D 1";"H 1";"K 1";"F 0";"8  ";" EG 2";;
;"06.04.01.10";"Versuchsfachkraft - Planen und Durchführen von Versuchen";"B 2";"E 4";"D 3";"H 3";"K 2";"F 0";"34  ";" EG 9";;
;"06.04.01.15";"Versuchstechniker - Planen und Durchführen von schwierigen und umfangreichen Versuchen";"B 4";"E 3";"D 4";"H 4";"K 3";"F 0";"44  ";" EG 12";;
